縣市別,機構類型,機構代碼,機構名稱,地址,電話,定位地址,WGS84經度,WGS84緯度
臺中市,一般護理之家,7403220027,佶園護理之家,臺中市中區柳川東路三段33號(地上1樓至9樓),04-22200515,臺中市中區柳川里8鄰柳川東路三段33號,120.677815,24.143115
臺中市,一般護理之家,7403220018,台中市私立健德護理之家,臺中市中區民權路188、190號,04-22200902、22205338、22208721,臺中市中區中華里1鄰民權路216號,120.674124,24.143336
臺中市,一般護理之家,7403230050,惠群護理之家,臺中市東區自由路3段276號2、3、4樓,04-22117567、22130557、0921430557,臺中市東區干城里4鄰自由路三段276號,120.693605,24.142516
臺中市,一般護理之家,7403230087,台中市德康護理之家,臺中市東區玉皇街63號6樓及7樓,04-22154179,臺中市東區東勢里21鄰玉皇街63號,120.693657,24.147378
臺中市,一般護理之家,7417021112,家園護理之家,臺中市東區東門路165號,04-22817088,臺中市東區東門里26鄰東門路165號,120.700115,24.127448
臺中市,一般護理之家,7417021121,毓祥護理之家,臺中市東區六順路7號,04-22805539,臺中市東區東門里26鄰六順路7號,120.69875,24.12544
臺中市,一般護理之家,7403250061,大愛護理之家,臺中市南區樹義五巷137弄26號2-6樓,04-22608885,臺中市南區樹義五巷137弄26號,120.655004,24.109901
臺中市,一般護理之家,7617041047,宏恩醫院附設護理之家,臺中市南區南平路31-2號4-10樓,04-22615150,臺中市南區和平里3鄰南平路31之2號,120.661028,24.119959
臺中市,一般護理之家,7417041141,臺中護理之家,臺中市南區正義街一六一號,04-22861933,臺中市南區城隍里10鄰正義街161號,120.680788,24.128824
臺中市,一般護理之家,7403250089,長瑞護理之家,臺中市南區福田三街161-2號及161-1號2樓至4樓,04-22632899,臺中市南區樹義里17鄰福田三街161之1號,120.655625,24.110697
臺中市,一般護理之家,7403240029,台中佳醫護理之家,臺中市西區民權路300號3、5、6樓(不含4樓),04-23016100,臺中市西區後龍里4鄰民權路300號,120.670129,24.147141
臺中市,一般護理之家,7517030024,衛生福利部臺中醫院附設護理之家,臺中市西區三民路一段199號B棟1樓(部分)、2樓、3樓，C棟1-2樓，長期照護大樓5、6樓,(04)22294411-6566、6563,臺中市西區廣民里2鄰三民路一段199號,120.675711,24.140225
臺中市,一般護理之家,7403240065,佑全護理之家,臺中市西區和龍里篤信街27號1至4樓,04-22065330,臺中市西區和龍里15鄰篤信街27號,120.672124,24.149597
臺中市,一般護理之家,7403240038,中山醫學大學附設醫院附設護理之家,臺中市西區中山路501號1-6樓,(04)22062100,臺中市西區後龍里28鄰中山路499之1號,120.672178,24.147009
臺中市,一般護理之家,7417051101,私立杏德護理之家,臺中市北區陝西二街11號,04-22971122,臺中市北區立人里16鄰陝西二街11號,120.667715,24.170895
臺中市,一般護理之家,7517051023,國軍臺中總醫院附設民眾診療服務處中清分院附設護理之家,臺中市北區忠明路500號,04-22033178分機525080,臺中市北區健行里38鄰忠明路500之10號,120.672406,24.160716
臺中市,一般護理之家,7403260147,德化佶園護理之家,臺中市北區金龍里德化街64號1至4樓,04-22335511,臺中市北區金龍里16鄰德化街63號,120.690271,24.161348
臺中市,一般護理之家,7403260030,鈺善園護理之家,臺中市北區育德里華中街30號,04-22018698,臺中市北區育德里21鄰華中街30號,120.672183,24.157859
臺中市,一般護理之家,7417080031,華穗護理之家,臺中市北屯區松竹南街6號,04-22471888,臺中市北屯區松竹里11鄰松竹南街6號,120.685409,24.180685
臺中市,一般護理之家,7403290163,瑞光護理之家,臺中市北屯區太順三街6號,04-24377617,臺中市北屯區?子里23鄰太順三街6號,120.724226,24.159094
臺中市,一般護理之家,7403290118,澄清復健醫院附設護理之家,臺中市北屯區太原路3段1142號1、2樓(現開放1樓),04-22393855-5111,臺中市北屯區?子里17鄰太原路三段1142號,120.72147,24.161429
臺中市,一般護理之家,7403290136,弘光科技大學附設老人醫院附設護理之家,臺中市北屯區太原路三段1141號2、3、4樓,04-22390600分機163、234,臺中市北屯區?子里15鄰太原路三段1141號,120.723218,24.162675
臺中市,一般護理之家,7403270036,長安護理之家,臺中市西屯區櫻花路74巷30號,04-23115511,臺中市西屯區大河里20鄰櫻花路74巷30號,120.651827,24.17109
臺中市,一般護理之家,7403270081,享溫心護理之家,臺中市西屯區安和路125之1號,04-24639185,臺中市西屯區福安里2鄰安和路125之1號,120.624489,24.179296
臺中市,一般護理之家,7217060526,財團法人敬德基金會附設護理之家,臺中市西屯區敬德街8號1、2、3樓,(04)24614546,臺中市西屯區林厝里11鄰敬德街8號,120.612337,24.19939
臺中市,一般護理之家,7417061125,康福護理之家,臺中市西屯區重慶路431、433號2~7樓,04-23153378,臺中市西屯區何源里21鄰重慶路447號,120.666411,24.171268
臺中市,一般護理之家,7403280096,臺中市私立葳閣護理之家,臺中市南屯區永春東路892號,04-23828855,臺中市南屯區豐樂里9鄰永春東路892號,120.640045,24.13509
臺中市,一般護理之家,7317070015,林新醫療社團法人附設林新護理之家,臺中市南屯區惠中路3段36號B棟4樓,04-22586688-1651、1650,臺中市南屯區三和里31鄰惠中路三段36號,120.640201,24.149037
臺中市,一般護理之家,7436191031,大明護理之家,臺中市太平區新平路二段380號,04-22773312,臺中市太平區宜欣里18鄰新平路二段380號,120.714509,24.144953
臺中市,一般護理之家,7403190024,賢德醫院附設護理之家,臺中市太平區樹孝路36號6樓,04-23939995-603,臺中市太平區新城里2鄰樹孝路36號,120.717006,24.150849
臺中市,一般護理之家,7403010085,長安醫院附設新安護理之家,臺中市太平區永平路一段9號6樓,04-3611-3611#3701,臺中市太平區永平里5鄰永平路一段9號,120.71973,24.131143
臺中市,一般護理之家,7403190051,潤康護理之家,臺中市太平區長龍路一段268號,04-22799901,臺中市太平區聖和里2鄰長龍路一段268號,120.743759,24.130016
臺中市,一般護理之家,7536191042,國軍台中總醫院附設民眾診療服務處附設護理之家,臺中市太平區中山路二段348號3樓,04-23931531,臺中市太平區光明里17鄰中山路二段348號,120.730101,24.150814
臺中市,一般護理之家,7403200016,葡萄園護理之家,臺中市大里區國光路二段500號1樓,04-24812439,臺中市大里區東興里29鄰國光路二段500號,120.679858,24.110174
臺中市,一般護理之家,7436201087,大里護理之家,臺中市大里區爽文路930號,04-24068926,臺中市大里區永隆里15鄰爽文路930號,120.674985,24.110489
臺中市,一般護理之家,7403200052,青松護理之家,臺中市大里區中投西路3段219號1-5樓,04-24060111,臺中市大里區夏田里9鄰中投西路三段219號,120.663567,24.088177
臺中市,一般護理之家,7336200015,仁愛醫療財團法人附設大里仁愛護理之家,臺中市大里區國光路二段398號7-9樓,04-24819900分機11722,臺中市大里區東興里29鄰國光路二段398號,120.680183,24.109828
臺中市,一般護理之家,7636181039,松群護理之家,臺中市霧峰區坑口里復興路二段655號,04-23333897、23334851,臺中市霧峰區坑口里13鄰復興路二段655號,120.730228,24.039086
臺中市,一般護理之家,7336180018,本堂澄清醫院附設護理之家,臺中市霧峰區中正路720巷5號,04-23391000,臺中市霧峰區本堂里12鄰中正路720巷5號,120.696696,24.053781
臺中市,一般護理之家,7403150084,福碩護理之家,臺中市烏日區公園路242-1號1、2、3、4樓,04-23386608,臺中市烏日區烏日里20鄰公園路242之1號,120.625285,24.102482
臺中市,一般護理之家,7303150019,林新醫療社團法人附設烏日林新護理之家,臺中市烏日區榮和路168號12樓及13樓,04-23387968,臺中市烏日區榮泉里19鄰榮和路168號,120.598042,24.109591
臺中市,一般護理之家,7403150048,九德大愛護理之家,臺中市烏日區中山路一段548號2、3、4、7樓,04-2338-6285,臺中市烏日區九德里25鄰中山路一段548號,120.634884,24.106978
臺中市,一般護理之家,7403150119,烏日青松護理之家,臺中市烏日區烏日里公園二街67號1至5樓,04-23366677,臺中市烏日區烏日里5鄰公園二街67號,120.626392,24.102305
臺中市,一般護理之家,7403150093,南丁格爾護理之家,臺中市烏日區大同九街38號1、2、3樓,04-23364383,臺中市烏日區烏日里45鄰大同九街38號,120.628293,24.112777
臺中市,一般護理之家,7403150100,宏愛護理之家,臺中市烏日區溪南路二段347巷51弄86號1至3樓,04-23351681,臺中市烏日區螺潭里8鄰溪南路二段347巷51弄86號,120.644623,24.062944
臺中市,一般護理之家,7536011049,衛生福利部豐原醫院附設護理之家,臺中市豐原區安康路100號,04-25271180分機1198、1199,臺中市豐原區南陽里10鄰安康路100號,120.725292,24.242706
臺中市,一般護理之家,7403010030,豐陽護理之家,臺中市豐原區富翁街83號,04-25131775,臺中市豐原區南田里2鄰富翁街83號,120.747654,24.263757
臺中市,一般護理之家,7403010067,杏豐護理之家,臺中市豐原區中興路171號(2、3、4、5樓),04-25150486,臺中市豐原區西勢里5鄰中興路171號,120.713395,24.247807
臺中市,一般護理之家,7403010094,佳松護理之家,臺中市豐原區南陽里南陽路197號,04-25294989,臺中市豐原區南陽里3鄰南陽路197號,120.729116,24.243939
臺中市,一般護理之家,7403070036,明依護理之家,臺中市后里區泰安里福美路2-6號,04-25582208,臺中市后里區泰安里10鄰福美路2之6號,120.738084,24.325797
臺中市,一般護理之家,7436120514,養生園護理之家,臺中市石岡區豐勢路國中巷1-3號,04-25812259,臺中市石岡區梅子里14鄰豐勢路國中巷1之3號,120.800645,24.268184
臺中市,一般護理之家,7236020019,財團法人凱華護理之家,臺中市東勢區東蘭路150之6號1、2、3樓,04-25770137,臺中市東勢區興隆里13鄰東蘭路150之6號,120.81289,24.285143
臺中市,一般護理之家,7403020027,東勢區農會附設農民醫院附設護理之家,臺中市東勢區豐勢路297號7樓,04-25772481,臺中市東勢區延平里7鄰豐勢路296號,120.829918,24.252624
臺中市,一般護理之家,7403110044,感恩護理之家,臺中市新社區新社里興安路31巷41-1、41-2號,04-25820736,臺中市新社區新社里1鄰興安路31巷41之1號,120.809736,24.241844
臺中市,一般護理之家,7203110013,財團法人馨園護理之家,臺中市新社區東興里東湖街1段99巷30號,04-25823296、25823297,臺中市新社區東興里13鄰東湖街一段99巷30號,120.81836,24.216227
臺中市,一般護理之家,7203090016,佛教慈濟醫療財團法人附設台中慈濟護理之家,臺中市潭子區豐興路一段66號1至5樓,04-36060666分機3751,臺中市潭子區聚興里8鄰豐興路一段66號,120.720344,24.193856
臺中市,一般護理之家,7403100020,清泉醫院附設護理之家,臺中市大雅區三和里港尾路133號,04-25688080,臺中市大雅區三和里13鄰港尾路133號,120.667174,24.214292
臺中市,一般護理之家,7436100030,幸福家園護理之家,臺中市大雅區中清東路46號,04-25608796,臺中市大雅區四德里1鄰中清東路46號,120.648809,24.219674
臺中市,一般護理之家,7403160035,大肚松群護理之家,臺中市大肚區蔗廓里013鄰遊園路一段151巷1弄9號1樓至4樓,04-26910000,臺中市大肚區蔗?里13鄰遊園路一段151巷1弄9號,120.57686,24.167992
臺中市,一般護理之家,7936050017,光田醫療社團法人附設光田護理之家,臺中市沙鹿區大同街5-2號1、4樓,04-26365000-2500、2504,臺中市沙鹿區興安里16鄰大同街5之2號,120.556747,24.233224
臺中市,一般護理之家,7403060021,仁美護理之家,臺中市梧棲區仁美街33巷48號,26579955,臺中市梧棲區中正里30鄰仁美街33巷48號,120.536053,24.253609
臺中市,一般護理之家,7436060022,頤園護理之家,臺中市梧棲區中華路一段612號,04-26622772-35,臺中市梧棲區永寧里21鄰中華路一段612號,120.546471,24.229914
臺中市,一般護理之家,7403040038,永錡護理之家,臺中市清水區西社里西社路29號,04-26224788,臺中市清水區西社里13鄰西社路29號,120.569366,24.270126
臺中市,一般護理之家,7403040047,仁惠護理之家,臺中市清水區橋頭里24鄰鎮新二街105號,04-26227689,臺中市清水區橋頭里24鄰鎮新二街105號,120.574025,24.274743
臺中市,一般護理之家,7403030050,惠全護理之家,臺中市大甲區中山路一段1089號1-4樓,04-26880969,臺中市大甲區頂店里19鄰中山路一段1089號,120.627728,24.351797
臺中市,一般護理之家,7403030069,仁馨護理之家,臺中市大甲區奉化里經國路789號1樓、789號3樓之1、789號3樓之2、789號6樓、789之1號、789之2號,04-26863000分機6301、6305,臺中市大甲區奉化里11鄰經國路789號,120.619321,24.355996
臺中市,一般護理之家,7403130028,水美護理之家,臺中市外埔區水美里二崁路672號,04-26888447,臺中市外埔區水美里12鄰二崁路672號,120.623307,24.328368
臺中市,一般護理之家,7436131062,康禎護理之家,臺中市外埔區水美路20-1號1、2、3、4樓,04-26877296,臺中市外埔區水美里2鄰水美路20之1號,120.635249,24.332594
臺中市,一般護理之家,7403130019,永康護理之家,臺中市外埔區水美里二崁路589號1、2、3、4、5樓,04-26876789,臺中市外埔區水美里13鄰二崁路589號,120.629159,24.324838
臺南市,一般護理之家,7621051033,永和醫院附設護理之家,臺南市中西區府前路１段304巷2號2樓、永福路2段35巷58號4-5樓,06-2231191,臺南市中西區南美里17鄰府前路一段304巷2號,120.199107,22.990469
臺南市,一般護理之家,7521050016,衛生福利部臺南醫院附設護理之家,臺南市中西區中山路１２５號,06-2200055,臺南市中西區赤嵌里3鄰中山路125號,120.209228,22.995819
臺南市,一般護理之家,7405340120,全人護理之家,臺南市中西區西賢一街187巷1號1-4樓,06-3583456,臺南市中西區西賢里15鄰西賢一街187巷1號,120.177245,23.003774
臺南市,一般護理之家,7405340068,國欣護理之家,臺南市中西區和平街23號B1F-4F,(06)2202111,臺南市中西區五條港里2鄰和平街23號,120.198802,22.996047
臺南市,一般護理之家,7621051042,十全診所附設護理之家,臺南市中西區永福路２段3號二~四樓,06-2231191,臺南市中西區南美里19鄰永福路二段3號,120.200252,22.9902
臺南市,一般護理之家,7405320066,台南市私立長佳護理之家,臺南市東區崇學路230巷59號4-5樓,06-5101333,臺南市東區崇信里13鄰崇學路230巷59號,120.226119,22.981196
臺南市,一般護理之家,7421011383,美佑護理之家,臺南市東區崇明18街5號1-4樓(本院),06-2603355,臺南市東區崇成里16鄰崇明十八街5號,121.533012,25.042385
臺南市,一般護理之家,7421011357,人慈護理之家,臺南市東區崇道路135號,06 2891166,臺南市東區崇德里12鄰崇道路135號,120.228917,22.972292
臺南市,一般護理之家,7405320084,德光護理之家,臺南市東區崇德路160號1至4樓,06-2893355,臺南市東區德光里7鄰崇德路160號,120.220292,22.978936
臺南市,一般護理之家,7405330115,台南市私立迦南美地護理之家,臺南市南區德興路139巷44弄38號1-3樓,06-2654567,臺南市南區郡南里5鄰德興路139巷44弄38號,120.194053,22.962537
臺南市,一般護理之家,7405330026,德濟護理之家,臺南市南區水交社路335號,06-2911218,臺南市南區大成里7鄰水交社路335號,120.20054,22.980139
臺南市,一般護理之家,7405330099,錫安護理之家,臺南市南區大同路2段482巷45號B1-5樓,06-2155511,臺南市南區大忠里7鄰大同路二段482巷45號,120.21328,22.972355
臺南市,一般護理之家,7405330124,萬年護理之家,臺南市南區省躬里14鄰萬年路160巷6號1-4樓,06-2963777,臺南市南區省躬里14鄰萬年路160巷6號,120.185952,22.93437
臺南市,一般護理之家,7405330133,天慈護理之家,臺南市南區新興里三官路91號1-3樓,06-2921088,臺南市南區新興里17鄰三官路91號,120.19412,22.979113
臺南市,一般護理之家,7405330151,安柏護理之家,臺南市南區萬年一街208號B1-4樓,06-2961235,臺南市南區興農里2鄰萬年一街208號,120.185427,22.930665
臺南市,一般護理之家,7405330142,永春護理之家,臺南市南區永春街7號1-4樓,06-2910236,臺南市南區明興里3鄰永春街7號,120.191422,22.964603
臺南市,一般護理之家,7405350019,聖公護理之家,臺南市北區文成路785號1-2樓,06-2591081,臺南市北區元美里3鄰文成路785號,120.194444,23.012035
臺南市,一般護理之家,7405350064,開元寺慈愛醫院附設護理之家,臺南市北區北園街89之1號2樓,06-2088818,臺南市北區開元里9鄰北園街89號之1,120.222908,23.010726
臺南市,一般護理之家,7405380044,如新護理之家,臺南市安平區健康三街590號1-5樓,06-2976868,臺南市安平區平通里10鄰健康三街590號,120.169622,22.996908
臺南市,一般護理之家,7405380062,德醫護理之家,臺南市安平區平通里育平7街115號1-3樓,06-2932658,臺南市安平區平通里27鄰育平八街115號,120.164063,22.99425
臺南市,一般護理之家,7305370046,臺南市立安南醫院附設護理之家,臺南市安南區長和路2段66號第二醫療大樓3樓,06-3553111,臺南市安南區州南里13鄰長和路二段66號,120.223192,23.064232
臺南市,一般護理之家,7305310013,晉生醫療社團法人附設晉生護理之家,臺南市永康區中山南路902巷5號3~6樓,62330003,臺南市永康區二王里1鄰中山南路902巷5號,120.249103,23.021364
臺南市,一般護理之家,7341310519,永達醫療社團法人附設永達護理之家,臺南市永康區永大路二段1326號3.4樓,06-2311111,臺南市永康區永康里32鄰永大路二段1326號,120.261506,23.022214
臺南市,一般護理之家,7441310020,怡安護理之家,臺南市永康區南工街212巷13弄2號.2-1號,06 -2015382,臺南市永康區二王里40鄰南工街212巷13弄2號,120.240247,23.013297
臺南市,一般護理之家,7405310239,順天心護理之家,臺南市永康區中山南路510巷1-13號1-4樓,06-3020121,臺南市永康區二王里30鄰中山南路510巷1之13號,120.240866,23.017624
臺南市,一般護理之家,7405310211,悅榕護理之家,臺南市永康區龍潭里中山北路258號1-4樓,06-2018179,臺南市永康區龍潭里22鄰中山北路253號,120.263043,23.028457
臺南市,一般護理之家,7405310168,宜聖護理之家,臺南市永康區大橋里4鄰大橋五街153號1-2樓,06-3027655,臺南市永康區大橋里4鄰大橋五街153號,120.229251,23.022753
臺南市,一般護理之家,7405310159,陽光護理之家,臺南市永康區中山東路25號2樓,06-3029090,臺南市永康區二王里45鄰中山東路25號,120.236082,23.014831
臺南市,一般護理之家,7405310131,永康廣善護理之家,臺南市永康區西勢路1巷398號1-2樓,62073722,臺南市永康區西勢里12鄰西勢路1巷398號,120.287496,23.015917
臺南市,一般護理之家,7405310122,康詠護理之家,臺南市永康區二王里二王路30巷2號1-4樓,06-2313216,臺南市永康區二王里4鄰二王路30巷2號,120.248692,23.021052
臺南市,一般護理之家,7405310104,悅豪護理之家,臺南市永康區中山北路256號1-2樓,06-2333166,臺南市永康區永明里1鄰中山北路256號,120.265035,23.028568
臺南市,一般護理之家,7405310079,臺南市私立永康永明護理之家,臺南市永康區永明街25號1~4樓,62027888,臺南市永康區永康里11鄰永明街25號,120.259203,23.025971
臺南市,一般護理之家,7405310042,弘安護理之家,臺南市永康區大同街821號,06-2331515,臺南市永康區永康里31鄰大同街821號,120.262255,23.023253
臺南市,一般護理之家,7441311063,私立南工護理之家,臺南市永康區中山南路231巷52號,06-3038421,臺南市永康區東橋里8鄰中山南路231巷52號,120.234576,23.016107
臺南市,一般護理之家,7541310513,高雄榮民總醫院臺南分院附設護理之家,臺南市永康區復興路427號(復健大樓1樓；醫療大樓6-7樓),06一2365101,臺南市永康區復興里1鄰復興路427號,120.240316,22.997218
臺南市,一般護理之家,7405310202,永保安康護理之家,臺南市永康區中華西街83號1-3樓,06-3038888,臺南市永康區西橋里8鄰中華西街83號,120.226525,23.01436
臺南市,一般護理之家,7405280094,蘭亭居護理之家,臺南市歸仁區長榮路三段400號1-4樓,06-2300457,臺南市歸仁區大潭里12鄰長榮路三段400號,120.320795,22.907958
臺南市,一般護理之家,7405280085,均安護理之家,臺南市歸仁區後市里民權三街92號1、2、3、4樓,06-2392669,臺南市歸仁區後市里13鄰民權三街92號,120.289958,22.969396
臺南市,一般護理之家,7405280076,宜福護理之家,臺南市歸仁區六甲里六甲八街139號1-3樓,06-2308532,臺南市歸仁區六甲里20鄰六甲八街139號,120.271028,22.956344
臺南市,一般護理之家,7405280067,和欣護理之家,臺南市歸仁區六甲里凱旋路2段301號,06-3388011,臺南市歸仁區六甲里5鄰凱旋路二段301號,120.284109,22.952278
臺南市,一般護理之家,7405280021,健麗醫護理之家,臺南市歸仁區武東里明德路8號1-2樓,06-3032967,臺南市歸仁區武東里9鄰明德路8號,120.274406,22.925332
臺南市,一般護理之家,7405280049,二甲護理之家,臺南市歸仁區沙崙里二甲165號1-3樓,06-2399231,臺南市歸仁區沙崙里1鄰二甲165號,120.304768,22.956907
臺南市,一般護理之家,7441281060,寶仁護理之家,臺南市歸仁區沙崙里二甲163號1-4樓,06-2399230,臺南市歸仁區沙崙里1鄰二甲163號,120.304757,22.956782
臺南市,一般護理之家,7405060029,台南市私立新化護理之家,臺南市新化區中山路32號1-3樓,06-5906959,臺南市新化區護國里10鄰中山路32號,120.315917,23.0453
臺南市,一般護理之家,7441060525,台南縣私立唪口護理之家,臺南市新化區知義里知母義9-15號,06-5908356,臺南市新化區知義里1鄰知母義9號之15,120.309856,23.02175
臺南市,一般護理之家,7441270576,溫馨護理之家,臺南市仁德區新田里民安路2段57號1樓,06-2496667,臺南市仁德區新田里10鄰民安路二段57號,120.253326,22.952739
臺南市,一般護理之家,7405270043,台南市私立祥允泰護理之家,臺南市仁德區忠義路339號,06-2709666,臺南市仁德區一甲里9鄰忠義路339號,120.25463,22.976444
臺南市,一般護理之家,7405270034,慈心護理之家,臺南市仁德區文賢路一段83號,06-3663666,臺南市仁德區成功里3鄰文賢路一段83號,120.222755,22.942969
臺南市,一般護理之家,7405270070,慈祥護理之家,臺南市仁德區中正路2段1225-1號1-4樓,06-2791516,臺南市仁德區仁德里14鄰中正路二段1225之1號,120.251574,22.970787
臺南市,一般護理之家,7405270061,臺南市私立聖祐護理之家,臺南市仁德區中洲里中洲路715巷156號1-2樓,06-2668705,臺南市仁德區中洲里13鄰中洲路715巷156號,120.246978,22.907868
臺南市,一般護理之家,7305290025,吉安醫療社團法人附設護理之家,臺南市關廟區北花里中正路435號3-4樓,06-6025556,臺南市關廟區花園里16鄰中正路435號,120.344314,22.967047
臺南市,一般護理之家,7641140513,葫蘆埤護理之家,臺南市官田區隆本里中山路2段130巷16號,5790719,臺南市官田區隆本里20鄰中山路二段130巷16號,120.305806,23.19554
臺南市,一般護理之家,7405140013,融園護理之家,臺南市官田區渡拔里拔子林86號之5,06-5793333,臺南市官田區渡拔里24鄰拔子林86號,120.31788,23.174966
臺南市,一般護理之家,7405040018,新總爺護理之家,臺南市麻豆區南勢里南勢86號之11,06-5717766,臺南市麻豆區南勢里5鄰南勢86號,120.266082,23.187542
臺南市,一般護理之家,7205040014,台灣基督長老教會新樓醫療財團法人附設麻豆新樓護理之家,臺南市麻豆區埤頭里苓子林20號3～8樓,06-5702228#4042、7190,臺南市麻豆區埤頭里11鄰苓子林20號,120.233033,23.179874
臺南市,一般護理之家,7405050041,台南市私立佳暘護理之家,臺南市佳里區六安里佳北路161號1-4樓,06-7215159,臺南市佳里區六安里15鄰佳北路161號,120.178586,23.170503
臺南市,一般護理之家,7405160015,辰安護理之家,臺南市西港區南海里東港12-8號1-3樓,67958559,臺南市西港區南海里8鄰東港12之8號,120.189497,23.10548
臺南市,一般護理之家,7405080049,東林護理之家,臺南市學甲區豐和里美豐49-23號1-2樓,06-7822955,臺南市學甲區豐和里3鄰美豐49號之23,120.207008,23.220635
臺南市,一般護理之家,7405080012,孝心護理之家,臺南市學甲區豐和里美和4號之49,06-7830536,臺南市學甲區豐和里9鄰美和4號之10,120.196321,23.22426
臺南市,一般護理之家,7641011035,營新醫院附設護理之家,臺南市新營區隋唐街228號5-6樓（本院）,06-6592345,臺南市新營區新南里2鄰隋唐街228號,120.299764,23.308389
臺南市,一般護理之家,7405010136,長泰護理之家,臺南市新營區興安里新進路203號1-3樓,06-6321199,臺南市新營區興業里13鄰新進路203號,120.316754,23.30167
臺南市,一般護理之家,7405010109,順康護理之家,臺南市新營區公誠街1號1~3樓,66333119,臺南市新營區興業里4鄰公誠街1號,120.318772,23.304808
臺南市,一般護理之家,7405010083,允泰護理之家,臺南市新營區信義街61之3號,06-6333939,臺南市新營區民權里13鄰信義街61之3號,120.314772,23.306823
臺南市,一般護理之家,7541010010,衛生福利部新營醫院附設護理之家,臺南市新營區信義街73號,06-6351131,臺南市新營區民權里5鄰信義街70之2號,120.314786,23.307821
臺南市,一般護理之家,7405010154,佳園護理之家,臺南市新營區民榮里17鄰新榮五街100號1-2樓,06-6570305,臺南市新營區民榮里23鄰新榮五街100號,120.300313,23.299119
